Column,LatLong,Latitude,Longitude,City,cityURI,County,countyQID,State,stateQID
12043,29.67888 -96.56011,29.6789,-96.5601,,,Colorado,Q5148681,Texas,Q1439
12064,29.70917 -96.48645,29.7092,-96.4865,,,Colorado,Q5148681,Texas,Q1439
12094,31.18318 -83.76742,31.1832,-83.7674,,,Colquitt County,Q113005,Georgia,Q1428
12112,33.25044 -95.89819,33.2504,-95.8982,Commerce,Q979151,Hunt,Q5943840,Texas,Q1439
12193,31.53504 -99.71087,31.535,-99.7109,,,Concho County,Q109795,Texas,Q1439
12205,31.51707 -91.62435,31.5171,-91.6244,,,Concordia Parish,Q509745,Louisiana,Q1588
12300,36.0804 -119.5399,36.0804,-119.5399,Corcoran,Q913487,Kings County,Q156358,California,Q99
12307,31.92731 -83.78169,31.9273,-83.7817,,,Crisp County,Q156486,Georgia,Q1428
12331,33.58733 -102.37855,33.5873,-102.3786,Levelland,Q970608,Hockley,Q3477808,Texas,Q1439
12342,27.79641 -97.403564,27.7964,-97.4036,Corpus Christi,Q49242,Aransas County,Q107982,Texas,Q1439
12352,27.8002 -97.396,27.8002,-97.396,Corpus Christi,Q49242,Nueces River,Q1468723,Texas,Q1439
12460,35.03 -91.2263,35.03,-91.2263,Cotton Plant,,Woodruff County,Q61204,Arkansas,Q1612
12477,37.22256 -96.86106,37.2226,-96.8611,,,Cowley County,Q376464,Kansas,Q1558
12519,35.848105 -90.661825,35.8481,-90.6618,,,Craighead County,Q61354,Arkansas,Q1612
12550,33.44899 -99.62335,33.449,-99.6234,Munday,Q982249,Knox County,Q110570,Texas,Q1439
12560,35.19859 -90.27208,35.1986,-90.2721,,,Crittenden County,Q61346,Arkansas,Q1612
12570,36.32622 -89.02342,36.3262,-89.0234,,,Crockett County,Q495022,Tennessee,Q1509
12622,33.68513 -101.38359,33.6851,-101.3836,,,Crosby County,Q109279,Texas,Q1439
12639,33.67466 -101.3878,33.6747,-101.3878,Ralls,Q982269,Crosby County,Q109279,Texas,Q1439
12668,37.63067 -98.9049,37.6307,-98.9049,Cullison,Q2422215,Pratt County,Q374604,Kansas,Q1558
12682,34.628414 -103.391315,34.6284,-103.3913,,,Curry County,Q484496,New Mexico,Q1522
12706,35.638565 -99.000095,35.6386,-99.0001,,,Custer County,Q490716,Oklahoma,Q1649
12713,35.614249 -98.659281,35.6142,-98.6593,,,Harmon County,Q486626,Oklahoma,Q1649
12723,33.6408 -90.34749,33.6408,-90.3475,Schlater,Q263048,Leflore County,Q497607,Mississippi,Q1494
12788,34.54383 -101.77568,34.5438,-101.7757,Tulia,Q974357,Swisher County,Q112882,Texas,Q1439
12818,35.41228 -99.41723,35.4123,-99.4172,Elk City,Q1007885,Beckham County,Q491646,Oklahoma,Q1649
12824,32.04915 -96.45899,32.0492,-96.459,,,Navarro County,Q112603,Texas,Q1439
12850,28.395565 -96.626425,28.3956,-96.6264,,,Calhoun County,Q489377,Texas,Q1439
12860,34.3281 -79.8445,34.3281,-79.8445,Darlington,Q428231,Darlington County,Q502285,South Carolina,Q1456
12867,34.44201 -79.88049,34.442,-79.8805,,,Darlington County,Q502285,South Carolina,Q1456
13061,35.21551 -99.86661,35.2155,-99.8666,Erick,Q612755,Beckham County,Q491646,Oklahoma,Q1649
13069,32.29869 -90.18049,32.2987,-90.1805,Mississippi State,Q15253671,Oktibbeha County,Q497615,Mississippi,Q1494
13079,33.46592 -88.81288,33.4659,-88.8129,Starkville,Q770470,Oktibbeha County,Q497615,Mississippi,Q1494
13410,31.39591 -100.68955,31.3959,-100.6896,,,Tom Green County,Q113396,Texas,Q1439
13570,34.43014 -90.21792,34.4301,-90.2179,Sledge,Q2034205,Quitman County,Q490266,Mississippi,Q1494
13591,32.742575 -101.948445,32.7426,-101.9484,,,Dawson County,Q110670,Texas,Q1439
13615,32.92975 -102.12779,32.9298,-102.1278,,,Dawson County,Q110670,Texas,Q1439
13648,31.77901 -84.42712,31.779,-84.4271,,,Terrell County,Q503492,Georgia,Q1428
13660,29.08966 -97.34631,29.0897,-97.3463,,,DeWitt County,Q26712,Texas,Q1439
13670,31.17837 92.38629,31.1784,-92.3863,,,Rapides Parish,Q503870,Louisiana,Q1588
13691,30.86366 -84.57318,30.8637,-84.5732,,,Decatur,Q79324,Georgia,Q1428
13707,31.22886 -92.5493,31.2289,-92.5493,,,Rapides Parish,Q503870,Louisiana,Q1588
13749,33.4064 -90.3812,33.4064,-90.3812,Itta Bena,Q867490,Leflore County,Q497607,Mississippi,Q1494
13783,33.42258 -90.91736,33.4226,-90.9174,Stoneville,Q7619339,Washington County,Q484643,Mississippi,Q1494
14334,33.81337 -91.31035,33.8134,-91.3104,,,Desha County,Q61029,Arkansas,Q1612
14354,29.08587 -97.35285,29.0859,-97.3529,,,DeWitt County,Q26712,Texas,Q1439
14364,29.1021 -97.32836,29.1021,-97.3284,,,DeWitt County,Q26712,Texas,Q1439
14384,34.38945 -79.36016,34.3895,-79.3602,,,Dillon County,Q502404,South Carolina,Q1456
14532,34.41709 -79.3708,34.4171,-79.3708,,,Dillon County,Q502404,South Carolina,Q1456
14542,34.51691 -79.47269,34.5169,-79.4727,Minturn,Q22073116,Dillon County,Q502404,South Carolina,Q1456
14755,35.25998 -91.21984,35.26,-91.2198,Little Dixie,Q14681160,Woodruff County,Q61204,Arkansas,Q1612
14773,34.14645 -99.21404,34.1465,-99.214,,,Wilbarger County,Q114339,Texas,Q1439
14780,32.30606 -101.43472,32.3061,-101.4347,,,Howard County,Q111380,Texas,Q1439
14793,35.110945 -77.06336,35.1109,-77.0634,,,Craven County,Q529958,North Carolina,Q1454
14803,33.59677 -91.73926,33.5968,-91.7393,,,Drew County,Q61478,Arkansas,Q1612
14823,34.66145 -99.56224,34.6615,-99.5622,East Duke,Q1907688,Jackson County,Q485030,Oklahoma,Q1649
14830,35.39578 -100.80281,35.3958,-100.8028,,,Gray County,Q109312,Texas,Q1439
14842,35.42766 -101.32551,35.4277,-101.3255,,,Carson County,Q109155,Texas,Q1439
14854,32.31126 -91.68543,32.3113,-91.6854,,,Franklin Parish,Q504391,Louisiana,Q1588
14875,34.5101 -90.44211,34.5101,-90.4421,,,Tunica County,Q484668,Mississippi,Q1494
14905,33.1176 -89.8753,33.1176,-89.8753,Durant,Q798425,Holmes County,Q485426,Mississippi,Q1494
14915,36.215795 -86.834325,36.2158,-86.8343,,,Dyer County,Q495078,Tennessee,Q1509
15037,31.3171 -84.91275,31.3171,-84.9128,,,Early County,Q486757,Georgia,Q1428
15057,32.75437 -91.23179,32.7544,-91.2318,,,East Carroll Parish,Q505505,Louisiana,Q1588
15108,30.7095 -82.92278,30.7095,-82.9228,,,Echols County,Q493029,Georgia,Q1428
15119,26.14169 -97.58428,26.1417,-97.5843,,,Cameron County,Q27051,Texas,Q1439
15129,35.915845 -77.585415,35.9158,-77.5854,,,Edgecombe County,Q118127,North Carolina,Q1454
15290,35.89871 -77.6163,35.8987,-77.6163,,,Edgecombe County,Q118127,North Carolina,Q1454
15341,32.5623 -80.3136,32.5623,-80.3136,Edisto Beach,Q1903825,Colleton County,Q502473,South Carolina,Q1456
15345,33.56749 -80.9248,33.5675,-80.9248,,,Orangeburg County,Q506068,South Carolina,Q1456
15364,34.9989 -90.3471,34.9989,-90.3471,Edmondson,Q2660653,Crittenden County,Q61346,Arkansas,Q1612
15373,32.3311 -90.60536,32.3311,-90.6054,Edwards,Q1925376,Hinds County,Q486538,Mississippi,Q1494
15414,32.32085 -81.32324,32.3209,-81.3232,,,Effingham County,Q156637,Georgia,Q1428
15428,32.49433 -96.64044,32.4943,-96.6404,,,Ellis County,Q110130,Texas,Q1439
15439,34.44251 -88.84145,34.4425,-88.8415,Ellistown,Q16890989,Tishomingo County,Q112834,Mississippi,Q1494
15479,32.75242 -111.55555,32.7524,-111.5556,Eloy,Q80072,Pinal County,Q58712,Arizona,Q816
15489,32.806 -111.5034,32.806,-111.5034,,,Pinal County,Q58712,Arizona,Q816
15513,35.50823 -75.99707,35.5082,-75.9971,"Engelhard, North Carolina",Q3304453,Hyde County,Q511659,North Carolina,Q1454
15523,33.54077 -89.26799,33.5408,-89.268,Eupora,Q578038,Webster County,Q486435,Mississippi,Q1494
15563,33.94185 -89.32385,33.9419,-89.3239,,,Webster County,Q486435,Mississippi,Q1494
15583,32.413898 -85.728466,32.4139,-85.7285,,,Macon County,Q502777,Alabama,Q173
15606,32.16316 -81.89437,32.1632,-81.8944,,,Evans County,Q493044,Georgia,Q1428
15659,30.53635 -87.8862,30.5364,-87.8862,Fairhope,Q79502,Baldwin County,Q156163,Alabama,Q173
16217,34.43564 -102.942658,34.4356,-102.9427,,,Parmer County,Q484521,Texas,Q1439
16245,32.16731 91.83295,32.1673,-91.833,,,Franklin Parish,Q504391,Louisiana,Q1588
16254,36.74068 -119.78573,36.7407,-119.7857,,,Fresno County,Q271915,California,Q99
16270,34.04972 -79.73923,34.0497,-79.7392,,,Florence County,Q505987,South Carolina,Q1456
16393,34.071515 -101.30308,34.0715,-101.3031,,,Floyd County,Q110528,Texas,Q1439
16415,34.12307 -101.44384,34.1231,-101.4438,,,Floyd County,Q110528,Texas,Q1439
16434,33.98548 -101.3419,33.9855,-101.3419,Floydada,Q975828,Floyd County,Q110528,Texas,Q1439
16490,34.9456 -90.8196,34.9456,-90.8196,,,St. Francis County,Q61145,Arkansas,Q1612
16540,29.62554 -95.73589,29.6255,-95.7359,,,Fort Bend County,Q26895,Texas,Q1439
